"Sapporo","Hida","Maizuru","Sasebo","Shima","Akiyoshidai","Nozawa","Dougo","Yufuin","Miyakojima"
0,10,9,6,8,10,8,10,10,10
10,0,6,8,8,7,6,7,6,10
9,6,0,7,7,10,7,9,7,10
6,8,7,0,9,10,10,7,7,9
8,8,7,9,0,8,7,9,10,10
10,7,10,10,8,0,10,9,10,10
8,6,7,10,7,10,0,7,6,8
10,7,9,7,9,9,7,0,8,10
10,6,7,7,10,10,6,8,0,10
10,10,10,9,10,10,8,10,10,0
