"Sapporo","Hida","Maizuru","Sasebo","Shima","Akiyoshidai","Nozawa","Dougo","Yufuin","Miyakojima"
0,8,5,8,8,8,5,8,5,8
8,0,7,8,7,8,5,7,8,8
5,7,0,8,5,6,6,7,5,8
8,8,8,0,5,8,8,6,5,8
8,7,5,5,0,6,8,7,5,6
8,8,6,8,6,0,8,8,5,8
5,5,6,8,8,8,0,8,8,8
8,7,7,6,7,8,8,0,4,8
5,8,5,5,5,5,8,4,0,8
8,8,8,8,6,8,8,8,8,0
