"Sapporo","Hida","Maizuru","Sasebo","Shima","Akiyoshidai","Nozawa","Dougo","Yufuin","Miyakojima"
0,6,9,6,9,9,6,9,6,9
6,0,6,9,9,6,3,3,6,6
9,6,0,9,9,9,9,9,9,9
6,9,9,0,3,6,9,6,6,9
9,9,9,3,0,9,6,9,3,9
9,6,9,6,9,0,6,9,6,6
6,3,9,9,6,6,0,9,9,9
9,3,9,6,9,9,9,0,9,9
6,6,9,6,3,6,9,9,0,3
9,6,9,9,9,6,9,9,3,0
