"Sapporo","Hida","Maizuru","Sasebo","Shima","Akiyoshidai","Nozawa","Dougo","Yufuin","Miyakojima"
0,10,9,10,9,9,9,9,9,10
10,0,8,9,9,8,7,9,7,10
9,8,0,9,8,9,9,9,9,10
10,9,9,0,7,8,9,9,9,8
9,9,8,7,0,9,10,9,9,8
9,8,9,8,9,0,9,9,9,9
9,7,9,9,10,9,0,8,8,10
9,9,9,9,9,9,8,0,8,10
9,7,9,9,9,9,8,8,0,10
10,10,10,8,8,9,10,10,10,0
